drug_name,n_cell_lines,direction_instability,mean_pairwise_cosine,mean_rotation_angle_deg,magnitude_cv,mean_norm,frechet_variance,mean_top_gene_jaccard,moa,target,clinical_phase,p_value_population
BRD-K31706415,9,0.6682974398136139,0.3317025601863861,70.39688110351562,0.18026261031627655,42.3689079284668,0.7797103524208069,0.13548312965746837,,,,0.009752085536364705
BRD-K88707333,8,0.6711742579936981,0.3288257420063019,70.72920989990234,0.26632159948349,43.49979782104492,0.7638146877288818,0.11404967984654735,,,,0.00990566037735849
piperlongumine,55,0.6723659932613373,0.3276340067386627,70.70902252197266,0.3183603286743164,52.01319122314453,0.9068800210952759,0.11535894989691195,,,,0.036312849162011177
NSC-3852,15,0.673667699098587,0.32633230090141296,70.70796203613281,0.3563704788684845,73.7882308959961,0.8452771902084351,0.10606450535555319,HDAC inhibitor,HDAC1,Preclinical,0.016359918200409
fludarabine,14,0.6739643216133118,0.32603567838668823,70.47936248779297,0.2770669758319855,65.9097671508789,0.8498796820640564,0.09487476836168858,ribonucleotide reductase inhibitor,ADA|DCK|POLA1|RRM1|RRM2,Launched,0.0160857908847185
BRD-K14027855,9,0.6741435527801514,0.32585644721984863,70.66120147705078,0.23543153703212738,46.32420349121094,0.7927539348602295,0.10561403859953679,,,,0.010222065562213606
camptothecin,12,0.6744664311408997,0.32553356885910034,70.66494750976562,0.21807320415973663,76.18910217285156,0.8219056725502014,0.10484742211822592,topoisomerase inhibitor,TOP1,Phase 3,0.014594949163660217
BRD-K32944375,8,0.6755771338939667,0.3244228661060333,70.94864654541016,0.2585311233997345,56.35736846923828,0.7700560092926025,0.10605877297602331,,,,0.010495283018867924
bufalin,13,0.6756296753883362,0.3243703246116638,70.8255386352539,0.44858092069625854,72.51364135742188,0.8345851898193359,0.11639853817532714,,,,0.0168550086190385
BRD-K03829970,9,0.6769089698791504,0.3230910301208496,70.95745086669922,0.2954798638820648,63.25661849975586,0.7898415327072144,0.11346033205163805,,,,0.010692045588062507
BRD-K30351863,8,0.6770165860652924,0.32298341393470764,71.06192779541016,0.3675665557384491,49.96507263183594,0.7716695070266724,0.10774695922186309,,,,0.010849056603773584
digitoxin,13,0.679008424282074,0.320991575717926,71.05706024169922,0.4456053376197815,69.72764587402344,0.8401815891265869,0.12117101393967679,ATPase inhibitor,ATP1A1|ATP1A2|ATP1A3|ATP1A4|ATP1B1|ATP1B2|ATP1B3|FXYD2,Launched,0.01742961118559663
erythrosine,13,0.6798038184642792,0.3201961815357208,71.10002136230469,0.27889230847358704,41.323524475097656,0.8424935936927795,0.11595297562717058,coloring agent,,Preclinical,0.01762114537444934
proscillaridin,13,0.680165708065033,0.31983429193496704,71.14649200439453,0.4483383297920227,73.05970764160156,0.8420212864875793,0.11497716508759985,,,,0.01781267956330205
SCH-79797,42,0.6802849173545837,0.31971508264541626,71.17372131347656,0.31654855608940125,67.04905700683594,0.9151610136032104,0.09337237890155545,,,,0.03899721448467967
BRD-A43126523,8,0.6803404986858368,0.3196595013141632,71.23270416259766,0.22841055691242218,53.47114562988281,0.779990017414093,0.11265864581935912,,,,0.011320754716981131
strophanthidin,14,0.6803478598594666,0.31965214014053345,71.21521759033203,0.41538044810295105,81.33745574951172,0.8474417924880981,0.11325735968235083,,,,0.018192263500574492
PI-828,13,0.6805709898471832,0.3194290101528168,71.15618133544922,0.285094678401947,51.221153259277344,0.8447583317756653,0.09027189791966715,PI3K inhibitor,,Preclinical,0.01838728212986018
emetine,56,0.6829707026481628,0.31702929735183716,71.35881805419922,0.34743669629096985,60.41002655029297,0.926392138004303,0.10566741732490349,protein synthesis inhibitor,RPS2,Phase 2,0.04189944134078212
BI-2536,56,0.6833779513835907,0.3166220486164093,71.31101989746094,0.27024179697036743,54.199520111083984,0.9360541105270386,0.11302478515295492,PLK inhibitor,BRD4|PLK1|PLK2|PLK3,Phase 2,0.0446927374301676
cymarin,13,0.6834655106067657,0.31653448939323425,71.23246765136719,0.34117966890335083,75.89271545410156,0.8529800176620483,0.1111013556382371,,,,0.01857881631871289
lasalocid,13,0.6846096813678741,0.31539031863212585,71.19596099853516,0.3496840000152588,55.364967346191406,0.8611908555030823,0.13227203832890547,bacterial permeability inducer,,Launched,0.0187703505075656
berbamine,8,0.6846117377281189,0.3153882622718811,71.45552825927734,0.2279798537492752,41.15113067626953,0.7892629504203796,0.10941844414709137,,,,0.011910377358490567
BRD-K07259155,8,0.6852322518825531,0.3147677481174469,71.47267150878906,0.2185082733631134,53.04645919799805,0.7880858182907104,0.1075318602941967,,,,0.012028301886792454
prostratin,9,0.68526491522789,0.31473508477211,71.48066711425781,0.26761332154273987,50.467613220214844,0.8065700531005859,0.11146278917178279,,,,0.012101985665609211
BRD-K65955264,9,0.68531334400177,0.31468665599823,71.46536254882812,0.2786685824394226,46.1411018371582,0.806878924369812,0.11979469240335594,,,,0.012219480672071436
HC-toxin,14,0.6856509149074554,0.31434908509254456,71.27887725830078,0.24862214922904968,54.84511947631836,0.8718568086624146,0.11311512286599176,,,,0.019724243584833396
BRD-A24021119,8,0.6868365108966827,0.31316348910331726,71.64796447753906,0.31914225220680237,59.016746520996094,0.7898479104042053,0.12674557997025793,,,,0.0125
VU-0410183-2,14,0.6881718933582306,0.3118281066417694,71.46558380126953,0.3134428560733795,53.18912887573242,0.879234790802002,0.1263702251540587,,,,0.020107238605898123
digoxin,13,0.6888968050479889,0.3111031949520111,71.66960144042969,0.49309173226356506,72.29151916503906,0.8572930693626404,0.11556969745106428,ATPase inhibitor,ATP1A1,Launched,0.020302624018387283
tunicamycin,15,0.6890482604503632,0.31095173954963684,71.72850799560547,0.21556594967842102,47.569339752197266,0.8698443174362183,0.12939897242079756,,,,0.0212678936605317
mitoxantrone,11,0.6894942224025726,0.31050577759742737,71.50274658203125,0.4398919343948364,93.90518188476562,0.8455707430839539,0.08761775893745966,topoisomerase inhibitor,TOP2A,Launched,0.018202689406362743
BRD-K88198340,8,0.6895343959331512,0.31046560406684875,71.8228988647461,0.48977091908454895,53.20588684082031,0.7931855320930481,0.12493582730176392,,,,0.013089622641509435
NNC-55-0396,11,0.6904864311218262,0.30951356887817383,71.7337646484375,0.4243200421333313,57.47108459472656,0.8453883528709412,0.10886883745652196,T-type calcium channel blocker,CATSPER1|CATSPER2|CATSPER3|CATSPER4,Preclinical,0.018530665792062972
BRD-K52321331,9,0.6904914975166321,0.3095085024833679,71.79302978515625,0.22978097200393677,47.88350296020508,0.8177198171615601,0.11452868075012534,,,,0.013276935730231466
BRD-K98824517,9,0.6907674074172974,0.30923259258270264,71.77847290039062,0.3280806839466095,52.25157165527344,0.8167144060134888,0.10475449059303045,,,,0.013394430736693691
BRD-K89224880,9,0.6915578544139862,0.3084421455860138,71.92261505126953,0.18599040806293488,46.2845458984375,0.8149924278259277,0.10895557434500976,,,,0.013511925743155916
malonoben,15,0.6930343508720398,0.3069656491279602,71.92411804199219,0.3694944679737091,64.8143081665039,0.8779780864715576,0.1209824616111752,,,,0.022699386503067485
BRD-K36333904,8,0.6955883204936981,0.3044116795063019,71.92823791503906,0.20367315411567688,51.2323112487793,0.8128589391708374,0.0851597961318976,,,,0.013797169811320755
BRD-K39597586,8,0.696131020784378,0.30386897921562195,72.16402435302734,0.32735297083854675,44.09080505371094,0.8051364421844482,0.13113566042932517,,,,0.013915094339622642
torin-2,19,0.6962096989154816,0.30379030108451843,72.13688659667969,0.20195157825946808,51.98897933959961,0.9025149941444397,0.09672596354251325,mTOR inhibitor,MTOR,Preclinical,0.02050405809483127
CGP-71683,13,0.6963664591312408,0.30363354086875916,72.04466247558594,0.3839009404182434,66.10261535644531,0.8768121004104614,0.12452939495561115,neuropeptide receptor antagonist,NPY5R,Preclinical,0.022601034284619806
entinostat,14,0.6968305706977844,0.3031694293022156,72.2117691040039,0.2910168468952179,50.87854766845703,0.8772016167640686,0.10088673775786743,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC9,Phase 3,0.022788203753351208
BRD-K35046132,8,0.6970278918743134,0.30297210812568665,72.19316101074219,0.18503326177597046,41.42622756958008,0.8076602220535278,0.10043983414571565,,,,0.014268867924528302
BRD-K95138506,9,0.6974440813064575,0.3025559186935425,72.13204956054688,0.24431173503398895,46.09230041503906,0.8308783173561096,0.11534736366584802,,,,0.014334390788391493
BRD-U86222656,9,0.6975678503513336,0.3024321496486664,72.10478210449219,0.33213210105895996,53.68516540527344,0.829767644405365,0.0998515285051748,,,,0.014451885794853719
auranofin,44,0.6984985172748566,0.30150148272514343,72.28741455078125,0.3819284439086914,63.55466079711914,0.9494801163673401,0.09977300456660641,NFkB pathway inhibitor,IKBKB|PRDX5|TRPA1,Launched,0.04748603351955307
PIK-75,54,0.6988022923469543,0.30119770765304565,72.09039306640625,0.3361331820487976,66.59476470947266,0.9741705656051636,0.08937722239858946,DNA protein kinase inhibitor|PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC,Preclinical,0.05027932960893855
PP-110,51,0.7000379264354706,0.2999620735645294,72.42127227783203,0.30248433351516724,47.96197509765625,0.9590651392936707,0.08789370839038219,,,,0.05307262569832402
tubastatin-a,9,0.7019301950931549,0.2980698049068451,72.56905364990234,0.2947874367237091,41.268577575683594,0.831566572189331,0.09740222626863249,HDAC inhibitor,HDAC6,Preclinical,0.014569380801315944
