pert_iname,n_cell_lines,cell_lines,n_total_signatures
BRD-K28366633,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K59139557,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K02502363,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
KU-C103898N,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K46869836,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K59705555,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K02986291,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
KU-C104122,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K71879957,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K59633395,9,"['A375', 'A549', 'ASC', 'HEPG2', 'HT29', 'MCF7', 'NPC', 'PHH', 'SKB']",11
BRD-K17773477,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K14939371,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K27169919,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K83670234,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K71029018,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
KU-C104219,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K71138616,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K58674774,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K48036219,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K53445087,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K70821460,9,"['A375', 'A549', 'ASC', 'HEPG2', 'HT29', 'MCF7', 'NPC', 'PHH', 'SKB']",11
BRD-K39829853,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
KU-C104248,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K89786160,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
SA-1459020,9,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NKDBA', 'NPC', 'PC3', 'VCAP']",26
BRD-K82230692,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",24
BRD-K05331696,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K81814927,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
BRD-K19985802,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K36022244,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K39010473,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K81538844,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K14340219,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K91836367,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K10855750,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-A29721261,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
Merck60,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",75
BRD-K33182644,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
KUC103893N,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-A32449311,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
KU-C104493,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K95547711,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K08174547,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K42681396,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
olopatadine,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",17
BRD-K96704648,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K63368502,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
dipropyl-dopamine,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HT29', 'MCF7', 'NKDBA', 'PC3', 'VCAP']",27
10-hydroxycamptothecin,9,"['A375', 'A549', 'ASC', 'HEPG2', 'HT29', 'MCF7', 'NPC', 'PHH', 'SKB']",11
BRD-K98546361,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",24
BRD-K38634661,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K98824517,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
5-methylhydantoin,9,"['A375', 'A549', 'ASC', 'HEPG2', 'HT29', 'MCF7', 'NPC', 'PHH', 'SKB']",11
BRD-K76896292,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
SD-6-035-A11,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",20
BRD-K30536692,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K63157263,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K44781077,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K66555411,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K75641083,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K16046246,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K74989018,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K09902564,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K29138830,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K12623437,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
VU-0415108-1,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K65774694,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K00007652,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",21
BRD-K18865856,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
VU-0400193-3,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K14171663,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K46505016,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K13872703,9,"['A375', 'A549', 'ASC', 'HEPG2', 'HT29', 'MCF7', 'NPC', 'PHH', 'SKB']",11
BRD-K01229043,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
PSH-012,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
EMF-bca1-16,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",24
BRD-K60297835,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K47448802,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
ML-167,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K18096819,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K59840856,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K26947839,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K59754458,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
gatifloxacin,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",25
BRD-K89005359,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K25608435,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K40566034,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
KU-C104227,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-A11929187,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K86652643,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K41845021,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
medroxyprogesterone,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",24
BRD-K68826049,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
HTS-12264SC,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
dexchlorpheniramine,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
lamivudine,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",28
SD-6-035-A9,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K67484673,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",26
BRD-K43267173,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K58982513,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K30779094,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K51083659,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K76357752,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",24
5-nonyloxytryptamine,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K75304533,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K23282736,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K00028814,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
MW-RAS9,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
SA-90377,9,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NKDBA', 'NPC', 'PC3', 'VCAP']",25
BRD-K10405667,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K73481389,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K55127335,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K02598395,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
SA-1973509,9,"['A375', 'A549', 'HEPG2', 'HT29', 'HUH7', 'MCF7', 'PC3', 'PHH', 'VCAP']",27
BRD-K22449070,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K35429092,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
ST-014075,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
cyproheptadine,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",16
BRD-K64366758,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K94544211,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",17
BRD-K24214483,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K78167523,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K85818861,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K76595177,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K23644387,9,"['A375', 'A549', 'ASC', 'HEPG2', 'HT29', 'MCF7', 'NPC', 'PHH', 'SKB']",11
BRD-A86792397,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
L-ascorbyl-6-palmitate,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",12
BRD-K46594703,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K65242613,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K47786739,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",17
BRD-K35133769,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K24705176,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-A42737819,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
KUC104240N,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K39289507,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K23149109,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K73125384,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K33720404,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
SD-6-035-A2,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K46445327,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-A43885598,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
3-methyl-GABA,9,"['A375', 'A549', 'ASC', 'HEPG2', 'HT29', 'MCF7', 'NPC', 'PHH', 'SKB']",11
BRD-K03652504,9,"['A375', 'A549', 'HEPG2', 'HT29', 'HUH7', 'MCF7', 'PC3', 'PHH', 'VCAP']",19
BRD-K86217247,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K87113270,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K04516579,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K17830172,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
trequinsin,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",63
BRD-K17754811,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K71489689,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K17739445,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K71380401,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K57786095,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K71303366,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",21
BRD-K57678861,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K86108784,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K18059480,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K03358980,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
"1,2,3,4,5,6-hexabromocyclohexane",9,"['A375', 'A549', 'ASC', 'HEPG2', 'HT29', 'MCF7', 'NPC', 'PHH', 'SKB']",11
BRD-K03339442,9,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
5'-guanidinonaltrindole,8,"['A375', 'A549', 'HA1E', 'HCC515', 'HT29', 'MCF7', 'PC3', 'VCAP']",15
6-benzylaminopurine,8,"['A375', 'A549', 'HA1E', 'HCC515', 'HT29', 'MCF7', 'PC3', 'VCAP']",18
zimelidine,8,"['A375', 'A549', 'HA1E', 'HCC515', 'HT29', 'MCF7', 'PC3', 'VCAP']",18
zidovudine,8,"['A375', 'A549', 'HA1E', 'HCC515', 'HT29', 'MCF7', 'PC3', 'VCAP']",14
2-(biphenyl-4-ylsulfonamido)pentanedioic-acid,8,"['A375', 'A549', 'HA1E', 'HCC515', 'HT29', 'MCF7', 'PC3', 'VCAP']",15
BRD-K37940862,8,"['A375', 'A549', 'HA1E', 'HCC515', 'HT29', 'MCF7', 'PC3', 'VCAP']",15
BRD-K37879871,8,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3', 'VCAP']",12
BRD-K37669227,8,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3', 'VCAP']",28
calcipotriol,8,"['A375', 'A549', 'HA1E', 'HCC515', 'HT29', 'MCF7', 'PC3', 'VCAP']",33
BRD-K85937960,8,"['A375', 'A549', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",12
BRD-K85806228,8,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3', 'VCAP']",9
1-phenylbiguanide,8,"['A375', 'A549', 'ASC', 'HEPG2', 'HT29', 'MCF7', 'NPC', 'PHH']",9
zolpidem,8,"['A375', 'A549', 'HA1E', 'HCC515', 'HT29', 'MCF7', 'PC3', 'VCAP']",22
zamifenacin,8,"['A375', 'A549', 'HA1E', 'HCC515', 'HT29', 'MCF7', 'PC3', 'VCAP']",15
17-beta-estradiol,8,"['A375', 'A549', 'HA1E', 'HCC515', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
busulfan,8,"['A375', 'A549', 'HA1E', 'HCC515', 'HT29', 'MCF7', 'PC3', 'VCAP']",17
byssochlamic-acid,8,"['A375', 'A549', 'HA1E', 'HCC515', 'HT29', 'MCF7', 'PC3', 'VCAP']",15
BRD-K85549762,8,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3', 'VCAP']",13
BRD-K85592362,8,"['A375', 'A549', 'HA1E', 'HCC515', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
BRD-K85593835,8,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3', 'VCAP']",11
BRD-K85650383,8,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3', 'VCAP']",12
BRD-K85660637,8,"['A375', 'A549', 'HA1E', 'HCC515', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
BRD-K85670329,8,"['A375', 'A549', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",12
ALX-5407,8,"['A375', 'A549', 'HA1E', 'HCC515', 'HT29', 'MCF7', 'PC3', 'VCAP']",15
AM-281,8,"['A375', 'A549', 'HA1E', 'HCC515', 'HT29', 'MCF7', 'PC3', 'VCAP']",15
BRD-K86618560,8,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3', 'VCAP']",11
BRD-K86671899,8,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3', 'VCAP']",11
BRD-K86786416,8,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3', 'VCAP']",12
BRD-K38700430,8,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3', 'VCAP']",13
cefazolin,8,"['A375', 'A549', 'HA1E', 'HCC515', 'HT29', 'MCF7', 'PC3', 'VCAP']",15
bromfenac,8,"['A375', 'A549', 'HA1E', 'HCC515', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
BRD-K18711687,8,"['A375', 'A549', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",12
metyrapone,8,"['A375', 'A549', 'HA1E', 'HCC515', 'HT29', 'MCF7', 'PC3', 'VCAP']",19
PF-543,8,"['A375', 'A549', 'HA1E', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3']",48
BRD-K57353465,8,"['A375', 'A549', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",12
napelline,8,"['A375', 'A549', 'HA1E', 'HCC515', 'HT29', 'MCF7', 'PC3', 'VCAP']",15
BRD-K17086338,8,"['A375', 'A549', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",12
BRD-K17139610,8,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3', 'VCAP']",11
BRD-K17203693,8,"['A375', 'A549', 'HA1E', 'HCC515', 'HT29', 'MCF7', 'PC3', 'VCAP']",14
